agentCount,defectorRatio,temptation,density,avgCompliance,defectorPercolationProb,geometricPercolationProb,avgLargestClusterFrac
20,0.70,1.70,0.2000,0.3000,0.0000,0.0000,0.2600
20,0.70,2.00,0.2000,0.3225,0.0000,0.0000,0.2875
20,0.80,1.10,0.2000,0.2025,0.0000,0.0000,0.2775
20,0.80,1.30,0.2000,0.2000,0.0000,0.0000,0.2850
20,0.80,1.50,0.2000,0.2050,0.0000,0.0000,0.3450
20,0.80,1.70,0.2000,0.2000,0.0000,0.0000,0.3050
20,0.80,2.00,0.2000,0.1850,0.0000,0.0000,0.3225
20,0.90,1.10,0.2000,0.0675,0.0000,0.0000,0.4000
20,0.90,1.30,0.2000,0.1075,0.0000,0.0000,0.3525
20,0.90,1.50,0.2000,0.0850,0.0000,0.0000,0.3575
20,0.90,1.70,0.2000,0.0825,0.0000,0.0000,0.4125
20,0.90,2.00,0.2000,0.1175,0.0000,0.0000,0.3200
30,0.10,1.10,0.3000,0.8967,0.0000,0.0000,0.0400
30,0.10,1.30,0.3000,0.9033,0.0000,0.0000,0.0383
30,0.10,1.50,0.3000,0.9150,0.0000,0.0000,0.0433
30,0.10,1.70,0.3000,0.9050,0.0000,0.0000,0.0417
30,0.10,2.00,0.3000,0.9117,0.0000,0.0000,0.0400
30,0.20,1.10,0.3000,0.8250,0.0000,0.0000,0.0633
30,0.20,1.30,0.3000,0.7850,0.0000,0.0500,0.0783
30,0.20,1.50,0.3000,0.7850,0.0000,0.0500,0.0883
30,0.20,1.70,0.3000,0.8167,0.0000,0.0000,0.0633
30,0.20,2.00,0.3000,0.7967,0.0000,0.0000,0.0683
30,0.30,1.10,0.3000,0.6900,0.0000,0.0000,0.1050
30,0.30,1.30,0.3000,0.7083,0.0000,0.0000,0.1067
30,0.30,1.50,0.3000,0.6983,0.0000,0.0000,0.1083
30,0.30,1.70,0.3000,0.6750,0.0000,0.0000,0.1117
30,0.30,2.00,0.3000,0.7000,0.0000,0.0000,0.1083
30,0.40,1.10,0.3000,0.6217,0.0000,0.0000,0.1417
30,0.40,1.30,0.3000,0.5717,0.0000,0.0000,0.1567
30,0.40,1.50,0.3000,0.6050,0.0000,0.0500,0.1483
30,0.40,1.70,0.3000,0.5883,0.0000,0.0000,0.1517
30,0.40,2.00,0.3000,0.5800,0.0000,0.0500,0.1483
30,0.50,1.10,0.3000,0.5183,0.0000,0.0000,0.1583
30,0.50,1.30,0.3000,0.4883,0.0000,0.0500,0.1900
30,0.50,1.50,0.3000,0.5100,0.0000,0.0000,0.1650
30,0.50,1.70,0.3000,0.4883,0.0000,0.0000,0.2100
30,0.50,2.00,0.3000,0.5067,0.0000,0.0000,0.2183
30,0.60,1.10,0.3000,0.3717,0.0000,0.0000,0.2717
30,0.60,1.30,0.3000,0.4083,0.0000,0.0500,0.2567
30,0.60,1.50,0.3000,0.4067,0.0000,0.0500,0.2267
30,0.60,1.70,0.3000,0.4417,0.0000,0.0000,0.1933
30,0.60,2.00,0.3000,0.4050,0.0000,0.0000,0.2117
30,0.70,1.10,0.3000,0.3000,0.0000,0.0500,0.3233
30,0.70,1.30,0.3000,0.3067,0.0000,0.0000,0.3350
